Jurisdiction,Total,Males,Females,Whites,Blacks,Other Race,Unknown Race
Maryland,26800,13346,13413,18912,6557,1081,250
Allegany,518,254,263,503,,,0
Anne Arundel,2589,1342,1241,2204,311,59,15
Baltimore City,3048,1512,1533,1094,1898,41,15
Baltimore County,4369,2081,2285,3502,741,109,17
Calvert,360,168,185,308,46,,
Caroline,156,79,77,136,,,0
Carroll,839,412,427,800,24,,
Cecil,455,234,221,431,,,0
Charles,500,267,230,313,163,16,8
Dorchester,171,83,87,122,,,
Frederick,1035,488,545,934,73,20,8
Garrett,158,65,93,155,0,,
Harford,1333,666,667,1169,125,29,10
Howard,1084,506,575,810,167,95,12
Kent,141,72,69,115,,,
Montgomery,4052,1989,2061,2952,566,467,67
Prince George's,3003,1516,1483,851,1957,153,42
Queen Anne's,258,139,119,234,21,,
Saint Mary's,370,191,178,329,36,,
Somerset,137,83,54,100,,,0
Talbot,271,154,117,235,32,,
Washington,786,391,394,735,37,,
Wicomico,561,320,239,433,116,,
Worcester,387,205,181,320,41,19,7
Unknown County,219,129,89,127,47,14,31
